Model,Method,Time,ULS
segformer3d,2xdilation,0.1371741611510515,0.35164
segformer3d,2xdilation,0.1367166265845298,0.35164
segformer3d,2xdilation,0.1366303917020559,0.35164
segformer3d,2xdilation,0.1366810090839862,0.35164
segformer3d,2xdilation,0.1367878690361976,0.35164
segformer3d,2xdilation,0.1370740439742803,0.35164
segformer3d,2xdilation,0.1367407068610191,0.35164
segformer3d,2xdilation,0.1366743966937065,0.35164
segformer3d,2xdilation,0.1367738619446754,0.35164
segformer3d,2xdilation,0.1364802923053503,0.35164
segformer3d,2xdilation,0.1364678088575601,0.35164
segformer3d,2xdilation,0.1365668829530477,0.35164
segformer3d,2xdilation,0.1370507292449474,0.35164
segformer3d,2xdilation,0.1368677783757448,0.35164
segformer3d,2xdilation,0.1368295364081859,0.35164
segformer3d,2xdilation,0.1367580592632293,0.35164
segformer3d,2xdilation,0.1368384193629026,0.35164
segformer3d,2xdilation,0.1365576051175594,0.35164
segformer3d,2xdilation,0.1367372926324606,0.35164
segformer3d,2xdilation,0.1370879802852869,0.35164
segformer3d,2xdilation,0.1363641247153282,0.35164
segformer3d,2xdilation,0.1368067041039466,0.35164
segformer3d,2xdilation,0.1364545449614524,0.35164
segformer3d,2xdilation,0.1362844724208116,0.35164
segformer3d,2xdilation,0.1365785356611013,0.35164
segformer3d,2xdilation,0.136855024844408,0.35164
segformer3d,2xdilation,0.1378540657460689,0.35164
segformer3d,2xdilation,0.1365472394973039,0.35164
segformer3d,2xdilation,0.1370258145034313,0.35164
segformer3d,2xdilation,0.1368300374597311,0.35164
segformer3d,2xdilation,0.1365250144153833,0.35164
segformer3d,2xdilation,0.1370836608111858,0.35164
segformer3d,2xdilation,0.1367612183094024,0.35164
segformer3d,2xdilation,0.1366819497197866,0.35164
segformer3d,2xdilation,0.1372165605425834,0.35164
segformer3d,opening,0.0794510077685117,0.48875
segformer3d,opening,0.0794124882668256,0.48875
segformer3d,opening,0.0690696872770786,0.48875
segformer3d,opening,0.052798755466938,0.48875
segformer3d,opening,0.0471877884119749,0.48875
segformer3d,opening,0.0474671125411987,0.48875
segformer3d,opening,0.047490544617176,0.48875
segformer3d,opening,0.047041093930602,0.48875
segformer3d,opening,0.0471448078751564,0.48875
segformer3d,opening,0.0471248719841241,0.48875
segformer3d,opening,0.0471831019967794,0.48875
segformer3d,opening,0.0660823248326778,0.48875
